0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	SM	MM	SLAB	ASIC
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	9.0	18.0	66.0	126.0	204.0	364.0	614.0	965.0	1544.0	2263.0	3376.0	4979.0	7391.0	11799.0	19078.0	27548.0	33234.0	33198.0	29100.0	25415.0	22796.0	21629.0	20671.0	19690.0	19062.0	18167.0	17564.0	16977.0	16693.0	16383.0	16255.0	15923.0	15864.0	15737.0	15594.0	15775.0	15854.0	16069.0	16296.0	16253.0	16764.0	17201.0	18111.0	18967.0	20341.0	21575.0	23616.0	27027.0	30808.0	34809.0	35254.0	30265.0	23414.0	16481.0	11011.0	7298.0	5064.0	3658.0	2885.0	2232.0	1673.0	1321.0	949.0	766.0	542.0	341.0	206.0	107.0	40.0	11.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	2	567
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	16.0	36.0	76.0	185.0	302.0	482.0	723.0	1143.0	1755.0	2574.0	3488.0	4925.0	7165.0	10774.0	16287.0	24690.0	33178.0	38240.0	36068.0	31134.0	27445.0	24743.0	23004.0	21562.0	20773.0	19909.0	18929.0	18630.0	18339.0	18282.0	17950.0	17780.0	17271.0	17137.0	17040.0	17552.0	17646.0	17786.0	17886.0	18514.0	19341.0	19989.0	21103.0	22202.0	23130.0	24347.0	26043.0	28722.0	33729.0	37323.0	36851.0	31957.0	24822.0	17276.0	11641.0	7799.0	5511.0	4039.0	3117.0	2233.0	1820.0	1399.0	1071.0	863.0	623.0	462.0	297.0	121.0	63.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	3	566
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	14.0	28.0	69.0	141.0	295.0	452.0	720.0	1182.0	1795.0	2678.0	4072.0	5913.0	8311.0	12913.0	19936.0	29304.0	37418.0	38881.0	34428.0	29060.0	25747.0	23930.0	22560.0	21743.0	20889.0	20158.0	19742.0	19558.0	19395.0	19493.0	18998.0	18603.0	18433.0	18099.0	18377.0	18762.0	18817.0	18968.0	18798.0	18898.0	19576.0	19859.0	20850.0	22033.0	22950.0	24535.0	26708.0	30395.0	36044.0	39936.0	38392.0	32164.0	23689.0	16086.0	10372.0	6869.0	4914.0	3524.0	2728.0	2014.0	1542.0	1172.0	863.0	715.0	444.0	286.0	149.0	47.0	21.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	4	569
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	4.0	27.0	69.0	137.0	233.0	393.0	589.0	954.0	1350.0	2116.0	2912.0	4297.0	5948.0	8850.0	13629.0	21496.0	30752.0	38327.0	38957.0	34069.0	28404.0	26077.0	23855.0	22545.0	21823.0	20742.0	19954.0	20003.0	19180.0	19086.0	18418.0	18179.0	17807.0	17243.0	17587.0	17867.0	17861.0	18335.0	18163.0	18271.0	18947.0	19115.0	19765.0	20833.0	21887.0	22810.0	23851.0	26182.0	29589.0	34039.0	37546.0	36165.0	30463.0	22696.0	15907.0	10642.0	7214.0	5205.0	3898.0	2991.0	2332.0	1758.0	1452.0	1109.0	879.0	645.0	430.0	251.0	103.0	36.0	16.0	6.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	5	568
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	11.0	40.0	90.0	174.0	272.0	464.0	791.0	1131.0	1700.0	2591.0	3499.0	4993.0	7251.0	11139.0	17544.0	26225.0	34961.0	37481.0	34116.0	29192.0	25696.0	23739.0	21992.0	21037.0	20058.0	19515.0	18890.0	18700.0	18341.0	18085.0	17551.0	17161.0	16903.0	17098.0	17208.0	17634.0	17885.0	17618.0	18122.0	18320.0	18711.0	18914.0	19804.0	20706.0	21715.0	22921.0	25029.0	28262.0	33084.0	36514.0	35044.0	29917.0	22128.0	15526.0	10111.0	6827.0	4986.0	3674.0	2757.0	2174.0	1585.0	1262.0	996.0	737.0	563.0	376.0	207.0	107.0	25.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	6	571
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	7.0	27.0	72.0	176.0	271.0	468.0	693.0	1138.0	1642.0	2352.0	3385.0	4618.0	6679.0	9892.0	15549.0	24250.0	33938.0	39045.0	37403.0	32081.0	27670.0	25209.0	23211.0	22119.0	21231.0	20449.0	19772.0	19296.0	18857.0	18555.0	18590.0	17976.0	17570.0	17823.0	17626.0	17535.0	17816.0	18039.0	18223.0	18275.0	18836.0	19214.0	20025.0	20495.0	21346.0	22607.0	23618.0	26049.0	30235.0	35400.0	37867.0	36003.0	30464.0	22926.0	15641.0	10727.0	7076.0	5231.0	3943.0	2957.0	2392.0	1850.0	1410.0	1120.0	784.0	604.0	404.0	231.0	102.0	30.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	1	7	570
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	11.0	30.0	63.0	117.0	210.0	353.0	483.0	717.0	967.0	1326.0	1719.0	2337.0	3196.0	4751.0	7229.0	9701.0	11425.0	10704.0	8979.0	7909.0	7376.0	6965.0	6787.0	6720.0	6371.0	6249.0	6059.0	5964.0	5782.0	5965.0	5855.0	5980.0	5836.0	5748.0	5836.0	5862.0	6028.0	5910.0	6005.0	6023.0	6121.0	6142.0	6392.0	6459.0	6727.0	7102.0	7376.0	7738.0	8190.0	8854.0	9626.0	10706.0	11566.0	10520.0	8721.0	6614.0	4984.0	3777.0	2964.0	2326.0	1812.0	1298.0	991.0	718.0	500.0	288.0	170.0	63.0	29.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	10	0	706
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	23.0	66.0	125.0	282.0	417.0	673.0	1042.0	1310.0	1853.0	2496.0	3340.0	4805.0	7186.0	11085.0	15339.0	18903.0	18118.0	15759.0	13575.0	12279.0	11819.0	11266.0	10959.0	10655.0	10542.0	10153.0	9949.0	9824.0	9603.0	9326.0	9304.0	9334.0	9399.0	9245.0	9705.0	9987.0	10173.0	10357.0	10688.0	10890.0	10899.0	11365.0	11233.0	11578.0	12045.0	12356.0	12856.0	13570.0	14862.0	16649.0	19046.0	20322.0	19430.0	17228.0	13102.0	9134.0	6161.0	4450.0	3289.0	2367.0	1771.0	1427.0	1082.0	750.0	486.0	342.0	169.0	69.0	27.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	10	1	715
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	7.0	39.0	104.0	183.0	376.0	586.0	894.0	1237.0	1486.0	2016.0	2638.0	3530.0	4905.0	7029.0	10726.0	15613.0	20754.0	22847.0	20460.0	17305.0	15055.0	13848.0	13169.0	12818.0	12193.0	12145.0	11918.0	11628.0	11609.0	11341.0	11381.0	11352.0	11485.0	11331.0	11561.0	11518.0	11493.0	11866.0	12345.0	12509.0	12792.0	13432.0	13402.0	13793.0	14131.0	14632.0	15117.0	15626.0	17104.0	19055.0	22157.0	24728.0	25274.0	22574.0	18872.0	13648.0	9458.0	6651.0	4898.0	3637.0	2608.0	2010.0	1513.0	1106.0	689.0	472.0	252.0	135.0	58.0	24.0	14.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	10	2	717
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	8.0	20.0	63.0	146.0	262.0	440.0	688.0	926.0	1344.0	1754.0	2366.0	3295.0	4671.0	6926.0	10541.0	15383.0	18804.0	18825.0	15619.0	13705.0	12168.0	11386.0	10734.0	10285.0	9787.0	9760.0	9303.0	9331.0	8840.0	8864.0	8890.0	8592.0	8419.0	8429.0	8236.0	8324.0	8207.0	8598.0	8758.0	8683.0	8800.0	8986.0	9280.0	9359.0	9943.0	10597.0	11072.0	11866.0	12668.0	13763.0	15529.0	17747.0	18610.0	17464.0	14757.0	11079.0	7887.0	5501.0	3959.0	2986.0	2423.0	1857.0	1352.0	1123.0	849.0	612.0	411.0	275.0	143.0	62.0	14.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42	10	3	716
